Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
brief_cont_notes1,brief_screen_summary,,notes,contact 1 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials2,brief_screen_summary,,text,staff initials 2,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date2,brief_screen_summary,,text,contact 2 date,,,date_mdy,,,,,,,,,,
brief_cont_act2,brief_screen_summary,,checkbox,contact 2 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes2,brief_screen_summary,,notes,contact 2 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 2 notes'
brief_staff_initials3,brief_screen_summary,,text,staff initials 3,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date3,brief_screen_summary,,text,contact 3 date,,,date_mdy,,,,,,,,,,
brief_cont_act3,brief_screen_summary,,checkbox,contact 3 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes3,brief_screen_summary,,notes,contact 3 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 3 notes'
brief_staff_initials4,brief_screen_summary,,text,staff initials 4,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date4,brief_screen_summary,,text,contact 4 date,,,date_mdy,,,,,,,,,,
brief_cont_act4,brief_screen_summary,,checkbox,contact 4 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes4,brief_screen_summary,,notes,contact 4 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 4 notes'
brief_staff_initials5,brief_screen_summary,,text,staff initials 5,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date5,brief_screen_summary,,text,contact 5 date,,,date_mdy,,,,,,,,,,
brief_cont_act5,brief_screen_summary,,checkbox,contact 5 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes5,brief_screen_summary,,notes,contact 5 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 5 notes'
brief_staff_initials6,brief_screen_summary,,text,staff initials 6,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date6,brief_screen_summary,,text,contact 6 date,,,date_mdy,,,,,,,,,,
brief_cont_act6,brief_screen_summary,,checkbox,contact 6 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes6,brief_screen_summary,,notes,contact 6 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 6 notes'
brief_cont_notes7,brief_screen_summary,,notes,contact 7 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Additional notes'
brief_more_fields,brief_screen_summary,,radio,"<div class=""rich-text-field-label""><h5>Do you need more contact attempt fields?</h5></div>","1, Yes",,,,,,,,,,,,
brief_contact_table2,brief_screen_summary,,descriptive,"<div class=""rich-text-field-label""><h5>Full Screen Contact Attempts</h5> <table style=""border-collapse: collapse; width: 100.867%; height: 323px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 7</span></p> <p>{brief_staff_initials7}</p> <p>{brief_cont_date7}</p> <p>{brief_cont_act7}</p> <p>{brief_cont_notes8}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 8</span></p> <p>{brief_staff_initials8}</p> <p>{brief_cont_date8}</p> <p>{brief_cont_act8}</p> <p>{brief_cont_notes9}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 9</span></p> <p>{brief_staff_initials9}</p> <p>{brief_cont_date9}</p> <p>{brief_cont_act9}</p> <p>{brief_cont_notes10}</p> </td> </tr> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 10</span></p> <p>{brief_staff_initials10}</p> <p>{brief_cont_date10}</p> <p>{brief_cont_act10}</p> <p>{brief_cont_notes11}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 11</span></p> <p>{brief_staff_initials11}</p> <p>{brief_cont_date11}</p> <p>{brief_cont_act11}</p> <p>{brief_cont_notes12}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 12</span></p> <p>{brief_staff_initials12}</p> <p>{brief_cont_date12}</p> <p>{brief_cont_act12}</p> <p>{brief_cont_notes13}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 54.3353%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""> <p><span style=""text-decoration: underline;"">Additional notes:</span></p> <p>{brief_cont_notes14}</p> </td> </tr> </tbody> </table></div>",,,,,,,[brief_more_fields] = 1,,,,,,
brief_lost,brief_screen_summary,,radio,"<div class=""rich-text-field-label""><h5>Lost to follow up after 6 unsuccessful attempts?</h5></div>","1, Yes",,,,,,,,,,,,
brief_staff_initials7,brief_screen_summary,,text,staff initials 7,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date7,brief_screen_summary,,text,contact 7 date,,,date_mdy,,,,,,,,,,
brief_cont_act7,brief_screen_summary,,checkbox,contact 7 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes8,brief_screen_summary,,notes,contact 7 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials8,brief_screen_summary,,text,staff initials 8,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date8,brief_screen_summary,,text,contact 8 date,,,date_mdy,,,,,,,,,,
brief_cont_act8,brief_screen_summary,,checkbox,contact 8 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes9,brief_screen_summary,,notes,contact 8 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials9,brief_screen_summary,,text,staff initials 9,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date9,brief_screen_summary,,text,contact 9 date,,,date_mdy,,,,,,,,,,
brief_cont_act9,brief_screen_summary,,checkbox,contact 9 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes10,brief_screen_summary,,notes,contact 9 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials10,brief_screen_summary,,text,staff initials 10,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date10,brief_screen_summary,,text,contact 10 date,,,date_mdy,,,,,,,,,,
brief_cont_act10,brief_screen_summary,,checkbox,contact 10 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes11,brief_screen_summary,,notes,contact 10 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials11,brief_screen_summary,,text,staff initials 11,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date11,brief_screen_summary,,text,contact 11 date,,,date_mdy,,,,,,,,,,
brief_cont_act11,brief_screen_summary,,checkbox,contact 11 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes12,brief_screen_summary,,notes,contact 11 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_staff_initials12,brief_screen_summary,,text,staff initials 12,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
brief_cont_date12,brief_screen_summary,,text,contact 12 date,,,date_mdy,,,,,,,,,,
brief_cont_act12,brief_screen_summary,,checkbox,contact 12 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
brief_cont_notes13,brief_screen_summary,,notes,contact 12 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
brief_cont_notes14,brief_screen_summary,,notes,contact 12 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
age_confirm,full_screen,,text,"<div class=""rich-text-field-label""><p>What is your current age in years?</p> <p><span style=""color: #236fa1;"">Brief screen entry: [age]</span></p></div>",,Type -999 to decline to answer,integer,0,,,,y,,,,,
age_check,full_screen,,yesno,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">STAFF ONLY: </span>Does their age match (or logically follow) from their brief screen?</p></div>",,,,,,,,y,,,,,
resmiami1,full_screen,,radio,"<div class=""rich-text-field-label""><p>Do you plan to live in the greater Miami area (Miami-Dade County, Broward County) for the next 9 months?</p> <p><span style=""color: #236fa1;"">ZIP code provided: [ziplive]</span></p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,,y,,,,,
hivstatus,full_screen,,radio,"<div class=""rich-text-field-label""><p>What is your HIV status? (reminder - this is confidential)</p></div>","1, HIV positive | 2, HIV negative | 3, I don't know | -999, Decline to answer",,,,,,,y,,,,,
prepcdc1,full_screen,,radio,"<div class=""rich-text-field-label""><p>Have you had anal or vaginal sex in the past 6 months?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,,y,,,,,
prepcdc2,full_screen,,radio,"<div class=""rich-text-field-label""><p>Were one or more of these sexual partners either HIV-negative or you did not know their HIV status? </p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[prepcdc1] = 1,y,,,,,
prepcdc3,full_screen,,radio,"<div class=""rich-text-field-label""><p>Did you always use condoms with these HIV-negative and unknown status partners?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[prepcdc2] = 1,y,,,,,
prepcdc4,full_screen,,radio,"<div class=""rich-text-field-label""><p>Have you had sex with an HIV positive partner in the past 6 months?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,"([prepcdc2] = ""0"" OR [prepcdc2] = -999) OR ([prepcdc3] = 1 OR [prepcdc3] = -999)",y,,,,,
prepcdc5,full_screen,,radio,"<div class=""rich-text-field-label""><p>Did you have sex with an HIV positive partner with an unknown or detectable viral load in the past 6 months? </p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,[prepcdc4] = 1,y,,,,,
prepcdc6,full_screen,,radio,"<div class=""rich-text-field-label""><p>Have you been diagnosed with gonorrhea, chlamydia, or syphilis in the past 6 months?</p></div>","0, No | 1, Yes | -999, Decline to answer",,,,,,"([prepcdc4] = ""0"" OR [prepcdc4] = -999) OR ([prepcdc5] = ""0"" OR [prepcdc5] = -999)",,,,,,
screen_prep,full_screen,,radio,"<div class=""rich-text-field-label""><p>Are you currently taking PrEP?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
screen_prep_probe,full_screen,,text,"<div class=""rich-text-field-label""><p>Please describe how you are currently taking PrEP (e.g., daily oral, 2-1-1, injectable) and how often you are taking it</p></div>",,,,,,,[screen_prep] = 1,y,,,,,
screen_hivtesting,full_screen,,radio,"<div class=""rich-text-field-label""><p>Have you completed an HIV test in the last 3 months?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
screen_mhsutx,full_screen,,radio,"<div class=""rich-text-field-label""><p>Are you currently receiving any kind of mental health or substance use treatment or counseling?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,,y,,,,,
screen_mhsutx_probe,full_screen,,text,"<div class=""rich-text-field-label""><p>Please describe the mental health or substance use treatment you are receiving. How often do you go?</p></div>",,,,,,,[screen_mhsutx] = 1,y,,,,,
full_eligibility_all,full_screen,,calc,full screen eligibility - all,"if((([age_check] = 1) AND ([hivstatus] = 2 OR [hivstatus] = 3) AND
([screen_hivtesting] = '0' AND [screen_hivtesting] <> '') AND
([prepcdc1] = 1 AND ([prepcdc4] = 1 OR [prepcdc6] = 1 OR [prepcdc3] = '0')) AND
([screen_prep] = '0' AND [screen_prep] <> '')), 1,0)",,,,,,,,,,,, @HIDDEN
full_all_text,full_screen,,text,full screen eligibility - overall eligibility text,,,,,,,,,,,,," @CALCTEXT(if([full_eligibility_all] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
full_eligibility_status,full_screen,,calc,full screen eligibility - hiv status,"if(([hivstatus] = 2 OR [hivstatus] = 3), 1,0)",,,,,,,,,,,, @HIDDEN
full_status_text,full_screen,,text,full screen eligiblity text - hiv status,,,,,,,,,,,,," @CALCTEXT(if([full_eligibility_status] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
full_eligibility_test,full_screen,,calc,full screen eligbility - hiv testing,"if(([screen_hivtesting] = '0' AND [screen_hivtesting] <> ''), 1,0)",,,,,,,,,,,, @HIDDEN
full_test_text,full_screen,,text,full screen eligibility text - hiv testing,,,,,,,,,,,,," @CALCTEXT(if([full_eligibility_test] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
full_eligibility_prepel,full_screen,,calc,full screen eligibility - prep eligible,"if(([prepcdc1] = 1 AND ([prepcdc4] = 1 OR [prepcdc6] = 1 OR [prepcdc3] = '0')), 1,0)",,,,,,,,,,,, @HIDDEN
full_prepel_text,full_screen,,text,full screen prep eligible text,,,,,,,,,,,,," @CALCTEXT(if([full_eligibility_prepel] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
full_eligibility_rxprep,full_screen,,calc,full screen eligibility - prep use,"if(([screen_prep] = '0' AND [screen_prep] <> ''), 1,0)",,,,,,,,,,,, @HIDDEN
full_prep_text,full_screen,,text,full screen eligibility text - prep use,,,,,,,,,,,,," @CALCTEXT(if([full_eligibility_rxprep] = 1, ""Eligible"", ""Not eligible""))
@HIDDEN"
full_age_text,full_screen,,text,full eligibility - age check text,,,,,,,,,,,,," @CALCTEXT(if([age_check] = 1), ""Eligible"", ""Not eligible"")
@HIDDEN"
full_eligible_header,full_screen_summary,,descriptive,"<div class=""rich-text-field-label""><div class=""green"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is ELIGIBLE for the study so far.</h5> Contact for consent session.</div></div>",,,,,,,[full_eligibility_all] = '1',,,,,,
full_ineligible_header,full_screen_summary,,descriptive,"<div class=""rich-text-field-label""><div class=""red"" style=""text-align: center;""> <h5 style=""text-align: center;"">Participant is NOT ELIGIBLE for the study at this point.</h5> No further action needed.</div></div>",,,,,,,[full_eligibility_all] = '0' AND [full_eligibility_all] <> '',,,,,,
full_eligibility_table,full_screen_summary,,descriptive,"<div class=""rich-text-field-label""><h6 style=""text-align: center;""><span style=""color: #c81577;"">For eligibility questions, contact Audrey</span></h6> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 19.5369%; text-align: center;""> <p style=""text-align: center;"">Age Check Passed?</p> <p style=""text-align: center;"">[age_check]</p> <p style=""text-align: center;""><span style=""color: #07869e;"">[full_age_text]</span></p> </td> <td style=""width: 20.6946%; text-align: center;""> <p style=""text-align: center;"">HIV status</p> <p style=""text-align: center;"">[hivstatus]</p> <p style=""text-align: center;""><span style=""color: #07869e;"">[full_status_text]</span></p> </td> <td style=""width: 20.6946%; text-align: center;""> <p style=""text-align: center;"">HIV testing done?</p> <p style=""text-align: center;"">[screen_hivtesting]</p> <p style=""text-align: center;""><span style=""color: #07869e;"">[full_test_text]</span></p> </td> <td style=""width: 20.5499%; text-align: center;""> <p style=""text-align: center;"">On PrEP?</p> <p style=""text-align: center;"">[screen_prep]</p> <p style=""text-align: center;""><span style=""color: #07869e;"">[full_prep_text]</span></p> </td> <td style=""width: 18.5239%; text-align: center;""> <p style=""text-align: center;"">Staying in FL?</p> <p style=""text-align: center;"">[resmiami1]</p> </td> </tr> <tr> <td style=""width: 19.5369%;""> <p style=""text-align: center;"">CDC PrEP Eligible?</p> <p style=""text-align: center;""><span style=""color: #07869e;"">[full_prepel_text]</span></p> <p style=""text-align: center;"">Criteria:</p> </td> <td style=""width: 20.6946%;""> <p style=""text-align: center;"">Anal/vaginal sex?</p> <p style=""text-align: center;"">[prepcdc1]</p> <p style=""text-align: center;"">AND one of the following:</p> </td> <td style=""width: 20.6946%;""> <p style=""text-align: center;"">Sex w/ PLWHIV?</p> <p style=""text-align: center;"">[prepcdc4]</p> </td> <td style=""width: 20.5499%;""> <p style=""text-align: center;"">STI diagnosed?</p> <p style=""text-align: center;"">[prepcdc6]</p> </td> <td style=""width: 18.5239%;""> <p style=""text-align: center;"">Always used condoms?</p> <p style=""text-align: center;"">[prepcdc3]</p> </td> </tr> </tbody> </table> <p style=""text-align: center;""> </p></div>",,,,,,,,,,,,,
full_last_contact,full_screen_summary,,text,"<div class=""rich-text-field-label""><p>Date of last contact</p></div>",,,date_mdy,,,,,,,,,,
full_consent_date,full_screen_summary,,text,"<div class=""rich-text-field-label""><p>Date of scheduled consent session:</p></div>",,,date_mdy,,,,[full_eligibility_all] = 1,,,,,,
contact_table2,full_screen_summary,,descriptive,"<div class=""rich-text-field-label""><h5>Contact Attempts</h5> <table style=""border-collapse: collapse; width: 100.867%; height: 323px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 1</span></p> <p>{staff_initials12_9cdd89}</p> <p>{cont_date12_3f9f52}</p> <p>{cont_act12_df1d17}</p> <p>{cont_notes12_43e074}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 2</span></p> <p>{staff_initials22}</p> <p>{cont_date22}</p> <p>{cont_act22}</p> <p>{cont_notes22}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 3</span></p> <p>{staff_initials32}</p> <p>{cont_date32}</p> <p>{cont_act32}</p> <p>{cont_notes32}</p> </td> </tr> <tr> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 4</span></p> <p>{staff_initials42}</p> <p>{cont_date42}</p> <p>{cont_act42}</p> <p>{cont_notes42}</p> </td> <td style=""width: 33.3817%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 5</span></p> <p>{staff_initials52}</p> <p>{cont_date52}</p> <p>{cont_act52}</p> <p>{cont_notes52}</p> </td> <td style=""width: 33.0939%;""> <p><span style=""text-decoration: underline;"">Contact Attempt 6</span></p> <p>{staff_initials62}</p> <p>{cont_date62}</p> <p>{cont_act62}</p> <p>{cont_notes62}</p> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 54.3353%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""> <p><span style=""text-decoration: underline;"">Additional notes:</span></p> <p>{cont_notes_add12}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
staff_initials12_9cdd89,full_screen_summary,,text,staff initials 1,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
cont_date12_3f9f52,full_screen_summary,,text,contact 1 date,,,date_mdy,,,,,,,,,,
cont_act12_df1d17,full_screen_summary,,checkbox,contact 1 actions taken,"1, Text | 2, Phone | 3, Email | 4, VM",,,,,,,,RH,,,,
cont_notes12_43e074,full_screen_summary,,notes,contact 1 notes,,,,,,,,,RH,,,, @PLACEHOLDER='Contact 1 notes'
staff_initials22,full_screen_summary,,text,staff initials 2,,,,,,,,,,,,, @PLACEHOLDER='Staff initials'
